Rank;Player Tag;Player Name;Total Earnings;Country;Primary Game;Game Earnings;Earnings Percentage;Player Profile Link;Title;Name;Date of Birth;Age;Country Ranking;Total Prize Money Earned;Alternate IDs;Player;Total_2023;Total_2022;Total_2021;Total_2020;Total_2019;Total_2018;Total_2017;Total_2016;Total_2015;Total_2014;Total_2013;Total_2012;Total_2011;Total_2010;Total_2009;Total_2008;Total_2007;Total_2006;Total_2005;Total_2004;Total_2003;Total_2002;Total_2001
9;Mira;Miroslaw Kolpakov;$5,380,579.65;Ukraine;Dota 2;$5,380,579.65;100.00%;https://www.esportsearnings.com/players/71806-mira-miroslaw-kolpakov;"Miroslaw ""Mira"" Kolpakov - Dota 2 Player";Miroslaw Kolpakov(Мирослав Колпаков);November 3, 1999;24;#2;$5,380,579.65From 37 Tournaments;miroslawdota;Mira Miroslaw Kolpakov;$1,409,472.40;$273,486.20;$3,696,652.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Mira;Miroslaw Kolpakov;$5,380,579.65;Ukraine;Dota 2;$5,380,579.65;100.00%;https://www.esportsearnings.com/players/71806-mira-miroslaw-kolpakov;"Miroslaw ""Mira"" Kolpakov - Dota 2 Player";Miroslaw Kolpakov(Мирослав Колпаков);November 3, 1999;24;#2;$5,380,579.65From 37 Tournaments;miroslawdota;Mira Miroslaw Kolpakov;$1,409,472.40;$273,486.20;$3,696,652.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;KuroKy;Kuro Takhasomi;$5,291,422.93;Germany;Dota 2;$5,289,699.59;99.97%;https://www.esportsearnings.com/players/3145-kuroky-kuro-takhasomi;"Kuro ""KuroKy"" Takhasomi - Dota 2 Player";Kuro Salehi Takhasomi;October 28, 1992;31;#1;$5,291,422.93From 129 Tournaments;KuroKy, mouz KuroKy, Na'Vi.KuroKy, NWO.KKY, Son Gohan;KuroKy Kuro Takhasomi;0;0;0;$69,816.00;$999,081.60;$647,150.40;$2,436,772.40;$362,813.20;$333,568.02;$189,893.70;$157,131.09;0;0;0;0;0;0;0;0;0;0;0;0
10;KuroKy;Kuro Takhasomi;$5,291,422.93;Germany;Dota 2;$5,289,699.59;99.97%;https://www.esportsearnings.com/players/3145-kuroky-kuro-takhasomi;"Kuro ""KuroKy"" Takhasomi - Dota 2 Player";Kuro Salehi Takhasomi;October 28, 1992;31;#1;$5,291,422.93From 129 Tournaments;KuroKy, mouz KuroKy, Na'Vi.KuroKy, NWO.KKY, Son Gohan;KuroKy Kuro Takhasomi;0;0;0;$69,816.00;$999,081.60;$647,150.40;$2,436,772.40;$362,813.20;$333,568.02;$189,893.70;$157,131.09;0;0;0;0;0;0;0;0;0;0;0;0
11;Miracle-;Amer Al-Barkawi;$4,889,085.26;Jordan;Dota 2;$4,889,085.26;100.00%;https://www.esportsearnings.com/players/14671-miracle-amer-al-barkawi;"Amer ""Miracle-"" Al-Barkawi - Dota 2 Player";Amer Al-Barkawi(عامر البرقاوي);June 20, 1997;26;#1;$4,889,085.26From 79 Tournaments;123, Miracle, Miracle_jr, OG.Miracle-;Miracle- Amer Al-Barkawi;0;0;0;$109,122.80;$991,081.60;$640,150.40;$2,421,583.03;$390,678.80;$248,925.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Miracle-;Amer Al-Barkawi;$4,889,085.26;Jordan;Dota 2;$4,889,085.26;100.00%;https://www.esportsearnings.com/players/14671-miracle-amer-al-barkawi;"Amer ""Miracle-"" Al-Barkawi - Dota 2 Player";Amer Al-Barkawi(عامر البرقاوي);June 20, 1997;26;#1;$4,889,085.26From 79 Tournaments;123, Miracle, Miracle_jr, OG.Miracle-;Miracle- Amer Al-Barkawi;0;0;0;$109,122.80;$991,081.60;$640,150.40;$2,421,583.03;$390,678.80;$248,925.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Matumbaman;Lasse Urpalainen;$4,873,086.24;Finland;Dota 2;$4,873,086.24;100.00%;https://www.esportsearnings.com/players/12133-matumbaman-lasse-urpalainen;"Lasse ""Matumbaman"" Urpalainen - Dota 2 Player";Lasse Urpalainen;March 3, 1995;28;#3;$4,873,086.24From 87 Tournaments;Liquid.MATUMBAMAN.HyperX, MASTURBAMAN, Matumbaman, URPALAINEN;Matumbaman Lasse Urpalainen;0;$363,762.00;$744,280.00;$203,588.00;$93,665.00;$646,150.40;$2,416,772.40;$362,813.20;$37,272.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Matumbaman;Lasse Urpalainen;$4,873,086.24;Finland;Dota 2;$4,873,086.24;100.00%;https://www.esportsearnings.com/players/12133-matumbaman-lasse-urpalainen;"Lasse ""Matumbaman"" Urpalainen - Dota 2 Player";Lasse Urpalainen;March 3, 1995;28;#3;$4,873,086.24From 87 Tournaments;Liquid.MATUMBAMAN.HyperX, MASTURBAMAN, Matumbaman, URPALAINEN;Matumbaman Lasse Urpalainen;0;$363,762.00;$744,280.00;$203,588.00;$93,665.00;$646,150.40;$2,416,772.40;$362,813.20;$37,272.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;MinD_ContRoL;Ivan Ivanov;$4,701,434.94;Bulgaria;Dota 2;$4,701,434.94;100.00%;https://www.esportsearnings.com/players/12579-mind-control-ivan-ivanov;"Ivan ""MinD_ContRoL"" Ivanov - Dota 2 Player";Ivan Borislavov Ivanov;January 20, 1995;28;#1;$4,701,434.94From 93 Tournaments;Liquid.MinD_ContRoL.HyperX, MinD_ContRoL;MinD_ContRoL Ivan Ivanov;0;0;0;$99,122.80;$999,081.60;$662,150.40;$2,421,272.40;$362,813.20;$36,397.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;MinD_ContRoL;Ivan Ivanov;$4,701,434.94;Bulgaria;Dota 2;$4,701,434.94;100.00%;https://www.esportsearnings.com/players/12579-mind-control-ivan-ivanov;"Ivan ""MinD_ContRoL"" Ivanov - Dota 2 Player";Ivan Borislavov Ivanov;January 20, 1995;28;#1;$4,701,434.94From 93 Tournaments;Liquid.MinD_ContRoL.HyperX, MinD_ContRoL;MinD_ContRoL Ivan Ivanov;0;0;0;$99,122.80;$999,081.60;$662,150.40;$2,421,272.40;$362,813.20;$36,397.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Puppey;Clement Ivanov;$4,313,472.80;Estonia;Dota 2;$4,312,402.74;99.98%;https://www.esportsearnings.com/players/2578-puppey-clement-ivanov;"Clement ""Puppey"" Ivanov - Dota 2 Player";Clement Ivanov;March 6, 1990;33;#1;$4,313,472.80From 153 Tournaments;Ks.Puppey, Na'Vi.PIOS, Na'Vi.Puppey, NWO.Puppey, Puppey, Secret.Puppey;Puppey Clement Ivanov;$98,700.00;$603,098.57;$746,600.00;$203,588.00;$626,760.80;$423,352.27;$262,463.80;$289,679.00;$445,455.22;$189,893.70;$155,459.18;$63,952.20;$203,870.07;0;0;0;0;0;0;0;0;0;0
14;Puppey;Clement Ivanov;$4,313,472.80;Estonia;Dota 2;$4,312,402.74;99.98%;https://www.esportsearnings.com/players/2578-puppey-clement-ivanov;"Clement ""Puppey"" Ivanov - Dota 2 Player";Clement Ivanov;March 6, 1990;33;#1;$4,313,472.80From 153 Tournaments;Ks.Puppey, Na'Vi.PIOS, Na'Vi.Puppey, NWO.Puppey, Puppey, Secret.Puppey;Puppey Clement Ivanov;$98,700.00;$603,098.57;$746,600.00;$203,588.00;$626,760.80;$423,352.27;$262,463.80;$289,679.00;$445,455.22;$189,893.70;$155,459.18;$63,952.20;$203,870.07;0;0;0;0;0;0;0;0;0;0
15;GH;Maroun Merhej;$4,294,387.60;Lebanon;Dota 2;$4,294,387.60;100.00%;https://www.esportsearnings.com/players/25335-gh-maroun-merhej;"Maroun ""GH"" Merhej - Dota 2 Player";Maroun Naim Merhej(مارون مرهج);June 17, 1995;28;#1;$4,294,387.60From 70 Tournaments;GH-GOD, Liquid.Gh;GH Maroun Merhej;0;0;0;$110,484.25;$999,081.60;$646,586.06;$2,420,658.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;GH;Maroun Merhej;$4,294,387.60;Lebanon;Dota 2;$4,294,387.60;100.00%;https://www.esportsearnings.com/players/25335-gh-maroun-merhej;"Maroun ""GH"" Merhej - Dota 2 Player";Maroun Naim Merhej(مارون مرهج);June 17, 1995;28;#1;$4,294,387.60From 70 Tournaments;GH-GOD, Liquid.Gh;GH Maroun Merhej;0;0;0;$110,484.25;$999,081.60;$646,586.06;$2,420,658.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Zai;Ludwig Wåhlberg;$4,292,756.02;Sweden;Dota 2;$4,272,661.31;99.53%;https://www.esportsearnings.com/players/5195-zai-ludwig-wahlberg;"Ludwig ""Zai"" Wåhlberg - Dota 2 Player";Ludwig Wåhlberg;August 5, 1997;26;#1;$4,292,756.02From 126 Tournaments;EG.zai, mmbzai, OpTic.Zai, OpTic.zai, Zai;Zai Ludwig Wåhlberg;$640,485.00;$383,762.00;$744,280.00;$203,588.00;$624,960.80;$308,376.80;$214,420.61;$540,070.80;$300,056.42;$312,093.63;$10,039.79;$10,622.17;0;0;0;0;0;0;0;0;0;0;0
16;Zai;Ludwig Wåhlberg;$4,292,756.02;Sweden;Dota 2;$4,272,661.31;99.53%;https://www.esportsearnings.com/players/5195-zai-ludwig-wahlberg;"Ludwig ""Zai"" Wåhlberg - Dota 2 Player";Ludwig Wåhlberg;August 5, 1997;26;#1;$4,292,756.02From 126 Tournaments;EG.zai, mmbzai, OpTic.Zai, OpTic.zai, Zai;Zai Ludwig Wåhlberg;$640,485.00;$383,762.00;$744,280.00;$203,588.00;$624,960.80;$308,376.80;$214,420.61;$540,070.80;$300,056.42;$312,093.63;$10,039.79;$10,622.17;0;0;0;0;0;0;0;0;0;0;0
17;TORONTOTOKYO;Alexander Khertek;$4,260,958.90;Russian Federation;Dota 2;$4,260,958.90;100.00%;https://www.esportsearnings.com/players/79215-torontotokyo-alexander-khertek;"Alexander ""TORONTOTOKYO"" Khertek - Dota 2 Player";Alexander Khertek(Александр Хертек);April 30, 1997;26;#3;$4,260,958.90From 36 Tournaments;Mio;TORONTOTOKYO Alexander Khertek;$276,585.00;$275,346.68;$3,695,573.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;TORONTOTOKYO;Alexander Khertek;$4,260,958.90;Russian Federation;Dota 2;$4,260,958.90;100.00%;https://www.esportsearnings.com/players/79215-torontotokyo-alexander-khertek;"Alexander ""TORONTOTOKYO"" Khertek - Dota 2 Player";Alexander Khertek(Александр Хертек);April 30, 1997;26;#3;$4,260,958.90From 36 Tournaments;Mio;TORONTOTOKYO Alexander Khertek;$276,585.00;$275,346.68;$3,695,573.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;SumaiL;Sumail Hassan;$4,012,889.31;Pakistan;Dota 2;$4,012,889.31;100.00%;https://www.esportsearnings.com/players/14196-sumail-hassan;"Sumail ""SumaiL"" Hassan - Dota 2 Player";Sumail Syed Hassan(سید سمائل حسن);February 13, 1999;24;#1;$4,012,889.31From 89 Tournaments;- Suma1L*, B-Rabbit, D3m0n, EG.SumaiL.Coffin, SumaiL;SumaiL Sumail Hassan;$132,600.00;0;$213,846.67;0;$305,310.40;$646,175.80;$250,795.00;$658,860.80;$1,730,083.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;SumaiL;Sumail Hassan;$4,012,889.31;Pakistan;Dota 2;$4,012,889.31;100.00%;https://www.esportsearnings.com/players/14196-sumail-hassan;"Sumail ""SumaiL"" Hassan - Dota 2 Player";Sumail Syed Hassan(سید سمائل حسن);February 13, 1999;24;#1;$4,012,889.31From 89 Tournaments;- Suma1L*, B-Rabbit, D3m0n, EG.SumaiL.Coffin, SumaiL;SumaiL Sumail Hassan;$132,600.00;0;$213,846.67;0;$305,310.40;$646,175.80;$250,795.00;$658,860.80;$1,730,083.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;y`;Zhang, Yiping;$3,932,492.20;China;Dota 2;$3,932,492.20;100.00%;https://www.esportsearnings.com/players/10712-y-zhang-yiping;"Zhang ""y`"" Yiping - Dota 2 Player";Zhang, Yiping(张懿萍);August 8, 1998;25;#1;$3,932,492.20From 84 Tournaments;Innocence, WhyouSm1Le, Wings.y`.Innocence, Y., y`Innocence, ZYP;y` Zhang, Yiping;$166,699.80;$498,408.60;$1,158,680.00;$59,643.27;0;0;0;$1,923,676.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;y`;Zhang, Yiping;$3,932,492.20;China;Dota 2;$3,932,492.20;100.00%;https://www.esportsearnings.com/players/10712-y-zhang-yiping;"Zhang ""y`"" Yiping - Dota 2 Player";Zhang, Yiping(张懿萍);August 8, 1998;25;#1;$3,932,492.20From 84 Tournaments;Innocence, WhyouSm1Le, Wings.y`.Innocence, Y., y`Innocence, ZYP;y` Zhang, Yiping;$166,699.80;$498,408.60;$1,158,680.00;$59,643.27;0;0;0;$1,923,676.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Ame;Wang, Chunyu;$3,912,904.27;China;Dota 2;$3,912,904.27;100.00%;https://www.esportsearnings.com/players/26665-ame-wang-chunyu;"Wang ""Ame"" Chunyu - Dota 2 Player";Wang, Chunyu(王淳煜);April 7, 1997;26;#2;$3,912,904.27From 69 Tournaments;Ame, PSG.LGD.Ame.凌仕Lynx;Ame Wang, Chunyu;0;$498,408.60;$1,158,680.00;0;$681,941.20;$1,091,935.92;$392,314.75;$37,542.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Ame;Wang, Chunyu;$3,912,904.27;China;Dota 2;$3,912,904.27;100.00%;https://www.esportsearnings.com/players/26665-ame-wang-chunyu;"Wang ""Ame"" Chunyu - Dota 2 Player";Wang, Chunyu(王淳煜);April 7, 1997;26;#2;$3,912,904.27From 69 Tournaments;Ame, PSG.LGD.Ame.凌仕Lynx;Ame Wang, Chunyu;0;$498,408.60;$1,158,680.00;0;$681,941.20;$1,091,935.92;$392,314.75;$37,542.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Faith_bian;Zhang, Ruida;$3,847,231.98;China;Dota 2;$3,847,231.98;100.00%;https://www.esportsearnings.com/players/26513-faith-bian-zhang-ruida;"Zhang ""Faith_bian"" Ruida - Dota 2 Player";Zhang, Ruida(张睿达);March 21, 1998;25;#3;$3,847,231.98From 73 Tournaments;bian, Faith_bian, Wings.Faith_bian.Vicky, Zrd;Faith_bian Zhang, Ruida;0;$598,408.60;$1,158,680.00;$59,643.27;0;0;0;$1,923,676.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Faith_bian;Zhang, Ruida;$3,847,231.98;China;Dota 2;$3,847,231.98;100.00%;https://www.esportsearnings.com/players/26513-faith-bian-zhang-ruida;"Zhang ""Faith_bian"" Ruida - Dota 2 Player";Zhang, Ruida(张睿达);March 21, 1998;25;#3;$3,847,231.98From 73 Tournaments;bian, Faith_bian, Wings.Faith_bian.Vicky, Zrd;Faith_bian Zhang, Ruida;0;$598,408.60;$1,158,680.00;$59,643.27;0;0;0;$1,923,676.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Bugha;Kyle Giersdorf;$3,648,566.72;United States;Fortnite;$3,635,900.05;99.65%;https://www.esportsearnings.com/players/56483-bugha-kyle-giersdorf;"Kyle ""Bugha"" Giersdorf - Fortnite Player";Kyle Giersdorf;December 30, 2002;20;#1;$3,647,266.72From 129 Tournaments;Bugha, DIG bugha;Bugha Kyle Giersdorf;$126,185.00;$159,075.00;$176,695.00;$103,870.04;$3,080,191.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Bugha;Kyle Giersdorf;$3,648,566.72;United States;Fortnite;$3,635,900.05;99.65%;https://www.esportsearnings.com/players/56483-bugha-kyle-giersdorf;"Kyle ""Bugha"" Giersdorf - Fortnite Player";Kyle Giersdorf;December 30, 2002;20;#1;$3,647,266.72From 129 Tournaments;Bugha, DIG bugha;Bugha Kyle Giersdorf;$126,185.00;$159,075.00;$176,695.00;$103,870.04;$3,080,191.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Somnus;Lu, Yao;$3,311,116.16;China;Dota 2;$3,311,116.16;100.00%;https://www.esportsearnings.com/players/10188-somnus-lu-yao;"Lu ""Somnus"" Yao - Dota 2 Player";Lu, Yao(路垚);December 16, 1995;28;#4;$3,311,116.16From 92 Tournaments;Maybe, Somnus丶M;Somnus Lu, Yao;0;$122,019.53;$145,451.25;$81,614.92;$669,941.20;$1,091,935.92;$392,314.75;$173,208.63;$581,168.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Somnus;Lu, Yao;$3,311,116.16;China;Dota 2;$3,311,116.16;100.00%;https://www.esportsearnings.com/players/10188-somnus-lu-yao;"Lu ""Somnus"" Yao - Dota 2 Player";Lu, Yao(路垚);December 16, 1995;28;#4;$3,311,116.16From 92 Tournaments;Maybe, Somnus丶M;Somnus Lu, Yao;0;$122,019.53;$145,451.25;$81,614.92;$669,941.20;$1,091,935.92;$392,314.75;$173,208.63;$581,168.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;Saksa;Martin Sazdov;$3,151,808.45;North Macedonia;Dota 2;$3,151,808.45;100.00%;https://www.esportsearnings.com/players/19074-saksa-martin-sazdov;"Martin ""Saksa"" Sazdov - Dota 2 Player";Martin Sazdov(Мартин Саздов);June 12, 1995;28;#1;$3,151,808.45From 73 Tournaments;DC.Saksa, Saksa;Saksa Martin Sazdov;$114,738.10;$1,770,865.60;$214,100.00;$75,571.40;$105,065.00;0;$69,260.00;$758,973.40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;Saksa;Martin Sazdov;$3,151,808.45;North Macedonia;Dota 2;$3,151,808.45;100.00%;https://www.esportsearnings.com/players/19074-saksa-martin-sazdov;"Martin ""Saksa"" Sazdov - Dota 2 Player";Martin Sazdov(Мартин Саздов);June 12, 1995;28;#1;$3,151,808.45From 73 Tournaments;DC.Saksa, Saksa;Saksa Martin Sazdov;$114,738.10;$1,770,865.60;$214,100.00;$75,571.40;$105,065.00;0;$69,260.00;$758,973.40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;fy;Xu, Linsen;$3,104,045.98;China;Dota 2;$3,104,045.98;100.00%;https://www.esportsearnings.com/players/4033-fy-xu-linsen;"Xu ""fy"" Linsen - Dota 2 Player";Xu, Linsen(徐林森);February 12, 1995;28;#5;$3,104,045.98From 105 Tournaments;fy, VG.fy.天喔, Yxy;fy Xu, Linsen;0;0;$140,277.84;$81,614.92;$681,941.20;$1,091,935.92;$61,915.45;$106,763.17;$499,214.36;$380,809.65;0;0;0;0;0;0;0;0;0;0;0;0;0
